Keywords,Topics
"distorted_speech, noise, extra_noise_or_distorted_speech, heard_extra, crackling, beeping_sound, temp_app, useless, worth, disconnection",extra noise/distorted speech
"sync, presenter, shared_content, content_not_in_sync, video_audio_out_of_sync, att, present, huge_lag, laggy, trouble_hearing",content not in sync/video audio out of sync
"echo, heard, heard_echo, meeting, sort, attended, external, permission, back_ground, take_forever",heard echo during meeting
"hear, people, sound, voice, lot, mute, participants, line, delay, clear",bad audio quality
"ui, annoying, make, update, windows, software, hate, close, stop, things",UI issue
"noticed, gap, responses, gap_between_responses, transfer, huge_delay, string, joint, back_feature, coudnt",gap between responses
"share_content, cannot_share_content, start, cannot_start_video, video, completely, decided, receiving, messed, unavailable",cannot share content/cannot start video
"audio_stopped_unexpectedly, keeps_dropping, audio_stopped, kept_dropping, didnt_work, cant_hear, never_connected, browsers, got_cut, rejoin",audio stopped unexpectedly
"work, app, works, product, zoom, day, login, teams, mac, great",app/product not work properly
"audio_stopped_unexpectedly, problems_installing, installing_problems, lost, disconnected, middle, unexpectedly, hear_anything, vpn, stopped",audio stopped unexpectedly/problems installing Webex
"call, phone, dial, number, calls, dropped, system, feature, computer, calling",app/product not work properly
"join, wait_longtime_to_join, long_time, wait, resulting, lync, canada, seamless, indicators, typically_takes",wait longtime to join
"ich, die, meetings, zu, hã, ren, es, dem, inhalte, anmelden","ich, die, meetings, zu, hã, ren, es, dem, inhalte, anmelden"
"connect, audio, camera, cannot_connect_camera, computer, work, connecting, laptop, working, headset",connect camera issue
"host, difficult, unable, find, interface, hard, share_screen, makes, user_friendly, change",UI issue
"audio, bad, de, vã, la, tuve, xaddeo, el_audio, ai_du, rã",bad audio quality
"sharing, view_content, others_cannot_view_sharing_content, screen, participants, window, view, content, top, move",sharing issue/others cannot view content
"video, experienced, low_quality, low_quality_video, blurry, kept_losing, pixelated, everytime, poor_performance, tempermental",experienced low-quality video
"fã, bã, cã, ³ã, eã, xa, ªã, ¼ã, aã, cå","fã, bã, cã, ³ã, eã, xa, ªã, ¼ã, aã, cå"
"time, meetings, times, takes, log, minutes, long, load, frustrating, joining",take time to response
"audio, view_shared_content, cannot_view_shared_content, video, poor, quality, video_audio_out_of_sync, voice_quality, choppy, breaking",cannot view shared content
"audio, issues, problems, issue, problem, users, lot, frequently, multiple, lots",audio issue
"meeting, open, link, end, started, click, enter, room, button, invite",general issue during meeting
"good, slow, connection, terrible, experience, system, horrible, working, skype, tool",connection issue/bad experience
"share, option, application, user, back, control, desktop, session, options, default",UI issue
"join, wait, wait_longtime_to_join, long_time, slow, resource, remote_control, perfect, getting_worse, ideal",wait longtime to join
"join, long_time, wait, wait_longtime_to_join, limited, easy, wasnt_able, impacting, minute_delay, corner",wait longtime to join
"sign, multiple_times, sign_in_multiple_times, upload, retry, grayed, pre, tone, passing, exiting",sign in multiple times
"multiple_times, sign, sign_in_multiple_times, got_kicked, pin, use_skype, keeps_asking, fly, multiple_screens, past_week",sign in multiple times
"heard_extra, noise, extra_noise_or_distorted_speech, distorted_speech, extra_noise, broke, one_star, drives, tut, expectations",extra noise/distorted speech
